[2025-12-10 02:59:50] Arguments: {'model_type': 'mlp', 'emb_path': 'dataset/feature_embeddings.npy', 'freeze_emb': False, 'lr': 0.001, 'batch_size': 32, 'epochs': 50, 'hidden_dim': 256, 'dropout': 0.3, 'seed': 42, 'device': 'cuda', 'exp_name': 'mlp_baseline_v1_lr1e-3_h128', 'num_workers': 0}
[2025-12-10 02:59:52] Initializing Baseline MLP...
[2025-12-10 02:59:54] Start Training...
[2025-12-10 03:00:02] Epoch [1/50] Train Loss: 0.2843 | Val Loss: 1.3252 | AUC: 0.8793 | F1: 0.8722
[2025-12-10 03:00:02] Best model saved to checkpoints/mlp_baseline_v1_lr1e-3_h128_best_AUC_0.8793_lr_0.001.pth
[2025-12-10 03:00:02] Epoch [2/50] Train Loss: 0.2073 | Val Loss: 2.6851 | AUC: 0.9492 | F1: 0.8722
[2025-12-10 03:00:02] Best model saved to checkpoints/mlp_baseline_v1_lr1e-3_h128_best_AUC_0.9492_lr_0.001.pth
[2025-12-10 03:00:02] Epoch [3/50] Train Loss: 0.1705 | Val Loss: 0.4197 | AUC: 0.8905 | F1: 0.8722
[2025-12-10 03:00:02] Epoch [4/50] Train Loss: 0.1570 | Val Loss: 1.3412 | AUC: 0.8968 | F1: 0.8722
[2025-12-10 03:00:02] Epoch [5/50] Train Loss: 0.1325 | Val Loss: 3.0657 | AUC: 0.9200 | F1: 0.8722
[2025-12-10 03:00:02] Epoch [6/50] Train Loss: 0.1457 | Val Loss: 6.6120 | AUC: 0.5000 | F1: 0.8722
[2025-12-10 03:00:02] Epoch [7/50] Train Loss: 0.1268 | Val Loss: 1.3894 | AUC: 0.8722 | F1: 0.8379
[2025-12-10 03:00:02] Epoch [8/50] Train Loss: 0.1184 | Val Loss: 1.3914 | AUC: 0.8801 | F1: 0.8722
[2025-12-10 03:00:02] Epoch [9/50] Train Loss: 0.1309 | Val Loss: 0.3482 | AUC: 0.9092 | F1: 0.4324
[2025-12-10 03:00:02] Epoch [10/50] Train Loss: 0.1342 | Val Loss: 2.3729 | AUC: 0.8690 | F1: 0.8722
[2025-12-10 03:00:03] Epoch [11/50] Train Loss: 0.0960 | Val Loss: 3.4010 | AUC: 0.8503 | F1: 0.8379
[2025-12-10 03:00:03] Epoch [12/50] Train Loss: 0.0917 | Val Loss: 2.3703 | AUC: 0.8725 | F1: 0.8722
[2025-12-10 03:00:03] Epoch [13/50] Train Loss: 0.0609 | Val Loss: 2.8663 | AUC: 0.8725 | F1: 0.8736
[2025-12-10 03:00:03] Epoch [14/50] Train Loss: 0.0630 | Val Loss: 0.7846 | AUC: 0.9087 | F1: 0.3662
[2025-12-10 03:00:03] Epoch [15/50] Train Loss: 0.0541 | Val Loss: 5.9307 | AUC: 0.8666 | F1: 0.0000
[2025-12-10 03:00:03] Epoch [16/50] Train Loss: 0.0532 | Val Loss: 7.6497 | AUC: 0.5048 | F1: 0.8722
[2025-12-10 03:00:03] Epoch [17/50] Train Loss: 0.0611 | Val Loss: 4.6710 | AUC: 0.5048 | F1: 0.8379
[2025-12-10 03:00:03] Epoch [18/50] Train Loss: 0.0798 | Val Loss: 0.5014 | AUC: 0.9143 | F1: 0.8722
[2025-12-10 03:00:03] Epoch [19/50] Train Loss: 0.0645 | Val Loss: 0.5403 | AUC: 0.8674 | F1: 0.8379
[2025-12-10 03:00:03] Epoch [20/50] Train Loss: 0.0647 | Val Loss: 0.4936 | AUC: 0.8550 | F1: 0.8379
[2025-12-10 03:00:03] Epoch [21/50] Train Loss: 0.0518 | Val Loss: 0.8665 | AUC: 0.8699 | F1: 0.3066
[2025-12-10 03:00:03] Epoch [22/50] Train Loss: 0.0514 | Val Loss: 0.9103 | AUC: 0.8674 | F1: 0.8379
[2025-12-10 03:00:03] Epoch [23/50] Train Loss: 0.0560 | Val Loss: 11.2683 | AUC: 0.5294 | F1: 0.8722
[2025-12-10 03:00:04] Epoch [24/50] Train Loss: 0.0544 | Val Loss: 7.4542 | AUC: 0.5048 | F1: 0.8722
[2025-12-10 03:00:04] Epoch [25/50] Train Loss: 0.0575 | Val Loss: 3.1057 | AUC: 0.8633 | F1: 0.8722
[2025-12-10 03:00:04] Epoch [26/50] Train Loss: 0.0565 | Val Loss: 0.2874 | AUC: 0.9295 | F1: 0.8669
[2025-12-10 03:00:04] Epoch [27/50] Train Loss: 0.0666 | Val Loss: 10.9211 | AUC: 0.8621 | F1: 0.0000
[2025-12-10 03:00:04] Epoch [28/50] Train Loss: 0.0595 | Val Loss: 5.3855 | AUC: 0.8669 | F1: 0.0000
[2025-12-10 03:00:04] Epoch [29/50] Train Loss: 0.0599 | Val Loss: 1.9884 | AUC: 0.8725 | F1: 0.8722
[2025-12-10 03:00:04] Epoch [30/50] Train Loss: 0.0780 | Val Loss: 4.8725 | AUC: 0.5048 | F1: 0.8722
[2025-12-10 03:00:04] Epoch [31/50] Train Loss: 0.0916 | Val Loss: 5.7503 | AUC: 0.5048 | F1: 0.8379
[2025-12-10 03:00:04] Epoch [32/50] Train Loss: 0.0589 | Val Loss: 3.7598 | AUC: 0.6330 | F1: 0.8722
[2025-12-10 03:00:05] Epoch [33/50] Train Loss: 0.0623 | Val Loss: 6.6370 | AUC: 0.5048 | F1: 0.8722
[2025-12-10 03:00:05] Epoch [34/50] Train Loss: 0.0556 | Val Loss: 1.1282 | AUC: 0.8605 | F1: 0.8560
[2025-12-10 03:00:05] Epoch [35/50] Train Loss: 0.0566 | Val Loss: 2.8699 | AUC: 0.8481 | F1: 0.1575
[2025-12-10 03:00:05] Epoch [36/50] Train Loss: 0.0577 | Val Loss: 0.7923 | AUC: 0.8829 | F1: 0.4000
[2025-12-10 03:00:05] Epoch [37/50] Train Loss: 0.0525 | Val Loss: 8.7568 | AUC: 0.5048 | F1: 0.8722
[2025-12-10 03:00:05] Epoch [38/50] Train Loss: 0.0465 | Val Loss: 4.7653 | AUC: 0.5048 | F1: 0.8722
[2025-12-10 03:00:05] Epoch [39/50] Train Loss: 0.0422 | Val Loss: 2.3499 | AUC: 0.8646 | F1: 0.8722
[2025-12-10 03:00:05] Epoch [40/50] Train Loss: 0.0388 | Val Loss: 3.0891 | AUC: 0.8458 | F1: 0.8560
[2025-12-10 03:00:05] Epoch [41/50] Train Loss: 0.0396 | Val Loss: 0.2966 | AUC: 0.9156 | F1: 0.6474
[2025-12-10 03:00:05] Epoch [42/50] Train Loss: 0.0532 | Val Loss: 4.3525 | AUC: 0.5046 | F1: 0.8788
[2025-12-10 03:00:05] Epoch [43/50] Train Loss: 0.0470 | Val Loss: 7.0475 | AUC: 0.5046 | F1: 0.8722
[2025-12-10 03:00:06] Epoch [44/50] Train Loss: 0.0545 | Val Loss: 0.3784 | AUC: 0.8600 | F1: 0.8722
[2025-12-10 03:00:06] Epoch [45/50] Train Loss: 0.0633 | Val Loss: 5.3231 | AUC: 0.8605 | F1: 0.0000
[2025-12-10 03:00:06] Epoch [46/50] Train Loss: 0.0764 | Val Loss: 2.1590 | AUC: 0.8693 | F1: 0.8425
[2025-12-10 03:00:06] Epoch [47/50] Train Loss: 0.0406 | Val Loss: 0.4813 | AUC: 0.8824 | F1: 0.6082
[2025-12-10 03:00:06] Epoch [48/50] Train Loss: 0.0544 | Val Loss: 2.1867 | AUC: 0.8683 | F1: 0.8605
[2025-12-10 03:00:06] Epoch [49/50] Train Loss: 0.0349 | Val Loss: 3.1295 | AUC: 0.8439 | F1: 0.8722
[2025-12-10 03:00:07] Epoch [50/50] Train Loss: 0.0301 | Val Loss: 1.5362 | AUC: 0.8613 | F1: 0.3066
[2025-12-10 03:00:07] Training Finished. Running Test on Best Model...
[2025-12-10 03:00:07] Test Results - AUC: 0.8301 | F1: 0.3803
